discovery keyword,channel name,URL,emails,total subs,AVG views,AVG engagement,date recorded,sampleSize
keyboard review,iDB,https://www.youtube.com/channel/UCF9-JngqznvAsiF2yZbeY8g,testEmail,292686,4477.0,0.03486297112779326,2018-04-30 10:47:51.625512,25.0
keyboard review,Lon.TV,https://www.youtube.com/channel/UCymYq4Piq0BrhnM18aQzTlg,testEmail,176745,5484.714285714285,0.05480165655197562,2018-04-30 10:47:52.906497,7.0
keyboard review,DetroitBORG,https://www.youtube.com/channel/UCmY3dSr-0TOkJqy0btd2AJg,testEmail,1179238,329989.5652173913,0.02159807734168781,2018-04-30 10:47:55.797171,25.0
keyboard review,DJBooth Pro Audio,https://www.youtube.com/channel/UCgeF5HaAI6I9jsuCTFhkBsA,testEmail,0,3792.0833333333335,0.017902910378175874,2018-04-30 10:47:59.422218,25.0
keyboard review,Nick Ackerman,https://www.youtube.com/channel/UCWsEZ9v1KC8b5VYjYbEewJA,testEmail,213628,32955.666666666664,0.03657576050942898,2018-04-30 10:48:02.020089,21.0
keyboard review,8-Bit Keys,https://www.youtube.com/channel/UCcTt3O4_IW5gnA0c58eXshg,testEmail,138755,253636.45833333334,0.03136601927467334,2018-04-30 10:48:05.264532,25.0
best mech keys,Robbie Vapes,https://www.youtube.com/channel/UCqMsGW7ApRqs1eUOECwgluQ,testEmail,15030,1611.5555555555557,0.0272338665195808,2018-04-30 11:02:29.196679,10.0
best mech keys,MyFreedomSmokes,https://www.youtube.com/channel/UC3wGP7DWOfOByCmtwDpq11A,testEmail,27443,387.5833333333333,0.03284473652230002,2018-04-30 11:02:32.597357,25.0
best mech keys,Northern Fog,https://www.youtube.com/channel/UCtPMXgNsopoHiKz0cqzBCWw,testEmail,13639,8916.625,0.020118948138116044,2018-04-30 11:02:36.347555,25.0
best mech keys,ThioJoeTech,https://www.youtube.com/channel/UCrjliuC6PeXJ4P8XYl_iETQ,testEmail,179815,31200.875,0.04406527060539168,2018-04-30 11:02:38.066649,9.0
best mech keys,AllDayVaper,https://www.youtube.com/channel/UCe8fJHmynSXF-0AsafpQo8Q,testEmail,9821,294.4583333333333,0.1120701853686147,2018-04-30 11:02:41.514167,25.0
best mech keys,Awe of Tech,https://www.youtube.com/channel/UCkGDCfFTLdLbv0_Mf5vwbtA,testEmail,59674,36120.833333333336,0.018904141192755793,2018-04-30 11:02:42.795059,7.0
best mech keys,NCIX Tech Tips,https://www.youtube.com/channel/UCjTCFFq605uuq4YN4VmhkBA,testEmail,1175448,83824.85714285714,0.04893025253334334,2018-04-30 11:02:44.080370,8.0
best mech keys,Farzan,https://www.youtube.com/channel/UCdbVVw-vk9u8nY1h1RPrrAg,testEmail,88,1252.5,0.010778443113772455,2018-04-30 11:02:45.047950,2.0
best mech keys,The Vaping Bogan,https://www.youtube.com/channel/UCExqR7C-PZp9aTEF-hUIRsA,testEmail,106869,8253.91304347826,0.06330689959008544,2018-04-30 11:02:47.604056,24.0
best mech keys,KevSoCraftified,https://www.youtube.com/channel/UCdpi9vt45yDATOdL0QzgpoA,testEmail,9663,,,2018-04-30 11:02:48.041750,1.0
best mech keys,Tony Schuster,https://www.youtube.com/channel/UCmrWDPwjLb0pjdI4EHdytNQ,testEmail,253,888.7916666666666,0.009094744737705688,2018-04-30 11:02:51.155322,25.0
best mech keys,Quality Vape Reviews,https://www.youtube.com/channel/UCQ614-M27ORonmRZGliDaVw,testEmail,170,472.5,0.029169542213020472,2018-04-30 11:02:54.170191,25.0
best mech keys,MoltenMetal,https://www.youtube.com/channel/UCa-fkypLpFQjKhsoscKoodg,testEmail,20809,7108.347826086957,0.0512922650649573,2018-04-30 11:02:56.879838,25.0
best mech keys,DVZN Media,https://www.youtube.com/channel/UCXydHW0hfCf3AEr8kMKBfmA,testEmail,6619,901.8333333333334,0.05484198854185918,2018-04-30 11:03:00.172853,25.0
best mech keys,Wayne Cheah,https://www.youtube.com/channel/UCFQL-a_7xFbki3ZWTivnNcA,testEmail,658,4491.5,0.016141600801513972,2018-04-30 11:03:01.206966,2.0
best mech keys,BSM Tech Tricks,https://www.youtube.com/channel/UC7rF9ePuwWEaML2vnK-UIvg,testEmail,18865,24378.75,0.010412073356235793,2018-04-30 11:03:03.286447,13.0
best mech keys,Rob Fern,https://www.youtube.com/channel/UCLWi5DRbbDHXzXoi2da0gLg,testEmail,8870,1298.5,0.02395926924228811,2018-04-30 11:03:06.396990,19.0
best mech keys,SavedByVape,https://www.youtube.com/channel/UCCwOyQft3_1jbGoYxVWRlUw,testEmail,167,714.0,0.03221288515406162,2018-04-30 11:03:09.335860,15.0
best mech keys,Kotaku,https://www.youtube.com/channel/UCVS9tA3PI8Gard_LrTx0YsQ,testEmail,274239,39328.625,0.02413963425338175,2018-04-30 11:03:13.080063,25.0
best mech keys,Bill Owen,https://www.youtube.com/channel/UCcnCXoB2dRjaTKkcd3l517Q,testEmail,69002,5115.444444444444,0.021069093594561134,2018-04-30 11:03:14.938344,10.0
best mech keys,GF LaserBolt,https://www.youtube.com/channel/UC5kbCDveYQUcxoOll5NKocA,testEmail,147672,2064.0476190476193,0.03986618987195755,2018-04-30 11:03:18.017290,22.0
best mech keys,New Amsterdam Vape,https://www.youtube.com/channel/UCxsotC6eyf7ahIFI0eH54fA,testEmail,60986,15374.166666666666,0.024665293511843465,2018-04-30 11:03:21.282226,25.0
best mech keys,Cuaks,https://www.youtube.com/channel/UCbxCMitq61iQOq8jvLH_vdQ,testEmail,40426,12556.652173913044,0.04506575416460355,2018-04-30 11:03:24.327568,25.0
best mech keys,callofcrows mod,https://www.youtube.com/channel/UCFH1Z7dLsW91pIExci036Pw,testEmail,1,,,2018-04-30 11:03:24.593565,0.0
best mech keys,PartyElite,https://www.youtube.com/channel/UCg3BiSs8eBE9hA9EWYTgtAg,testEmail,36948,4174.0,0.051923397429220225,2018-04-30 11:03:27.231844,25.0
best mechanical keyboards,ozan ekinci,https://www.youtube.com/channel/UCZRPfEBWuYw7qBcEmOrA86g,testEmail,29880,131097.04347826086,0.008522151911201247,2018-04-30 11:03:35.608613,25.0
best mechanical keyboards,Chipsflickan,https://www.youtube.com/channel/UCwrFk1l7zyjMlm3typlGV0Q,testEmail,17082,131.0,,2018-04-30 11:03:36.614641,3.0
best mechanical keyboards,Top Lists,https://www.youtube.com/channel/UCAagw0vEXqaTSkIZ4f8_1ew,testEmail,18994,651.304347826087,0.020271473075211394,2018-04-30 11:03:40.113725,25.0
best mechanical keyboards,Tech Tesseract,https://www.youtube.com/channel/UCT9CJkrdmTnZ-M5xns9chXQ,testEmail,7946,4893.666666666667,0.026614553563760315,2018-04-30 11:03:43.769904,25.0
best mechanical keyboards,Wirecutter,https://www.youtube.com/channel/UCXlo0wXqyM_WgpmZdyNrXYA,testEmail,3100,804.7391304347826,0.0012845920985204576,2018-04-30 11:03:46.866649,25.0
best mechanical keyboards,Programmer Friendly,https://www.youtube.com/channel/UChDkyXCcPccDFqFhhzSvQxw,testEmail,812,65972.0,0.007957921542472565,2018-04-30 11:03:47.286758,2.0
best mechanical keyboards,INDIAN GAMER,https://www.youtube.com/channel/UCtZ1Pm42gx7yCSqR9w77Kew,testEmail,85506,23617.88888888889,0.10772907541835047,2018-04-30 11:03:49.018139,10.0
best mechanical keyboards,Techs You Can't Live Without,https://www.youtube.com/channel/UCkoP98bkuVjTs12pdMvlK3A,testEmail,584,3957.217391304348,0.028185520494565058,2018-04-30 11:03:53.042199,25.0
best mechanical keyboards,Gadgets Review,https://www.youtube.com/channel/UCzPJCGFqGMHAyTm4QcntZdQ,testEmail,53450,648.6086956521739,0.02286946418197256,2018-04-30 11:03:56.230788,25.0
best mechanical keyboards,Gamers Nexus,https://www.youtube.com/channel/UChIs72whgZI9w6d6FhwGGHA,testEmail,249597,40587.86956521739,0.06553784899679099,2018-04-30 11:03:58.941635,25.0
best mechanical keyboards,Miraie,https://www.youtube.com/channel/UCB18IliCiBeraa8oysaTZSQ,testEmail,202829,60977.166666666664,0.1231627188816082,2018-04-30 11:04:01.997081,25.0
best mechanical keyboards,Carson Clark,https://www.youtube.com/channel/UCKPwFmMXR8tQc_mqD4zqrSQ,testEmail,1479,,,2018-04-30 11:04:03.141156,1.0
kira mechanical keyboard,OSReviews,https://www.youtube.com/channel/UCpt9QXFMmuldLVn95BWLDbw,testEmail,31654,800.625,0.030080666146239915,2018-04-30 11:04:12.053747,25.0
kira mechanical keyboard,GoKickMe,https://www.youtube.com/channel/UCItaT4Cy3Y2SNFdDpADcwcQ,testEmail,175,38.36842105263158,0.13929850632525528,2018-04-30 11:04:14.572658,19.0
kira mechanical keyboard,JELLYzTECH,https://www.youtube.com/channel/UCv-I9EScyXALeJ0fueNdA2g,testEmail,1090,5151.8,0.009860631235684614,2018-04-30 11:04:16.344134,11.0
